,content
57,"대구 지역 모각코/IT 톡방을 운영하고 있는 쥬니어 개발자입니다.IT주제로 수다도 할수있고, 모각코도 하는 방입니다.아래링크로 들어오세요.https://open.kakao.com/o/gE8s89Wb참여코드는 daegu 입니다."
58,"코드팩토리의 플러터 프로그래밍 완주하기 스터디 목표《코드팩토리의 플러터 프로그래밍 2판》 책을 완독하기 현재 《코드팩토리의 플러터 프로그래밍 2판》은 예약 판매 중으로 2월 1일 종이책/전자책 동시 출간 예정입니다.개정판은 총 4개 장, 160쪽 분량을 새롭게 추가되었으며, 현재 플러터+슈파베이스를 다루는 유일한 도서입니다.10가지 실전 앱 실습을 포함합니다.  모집 링크https://forms.gle/p62PfUoEZSmqxDXy5 스터디 대상플러터로 앱스토어 , 구글 스토어에 자기가 만든 앱을 배포해보고 싶은 사람모바일 개발에 관심이 있는데 시작을 망설이는 사람스터디를 통해서 모르는 부분을 공유하고 같이 성장하고 싶은 사람 모집 기간2024년 1월 16일 (화) - 2024 1월 31일 (수) 스터디 장소 및 시간온라인<디스코드> 사용 예정 일정약 12주 주의 사항스터디 교재는 구매는 필수입니다.매주 스터디 내용을 요약하여 블로그에 기재해야합니다.스터디원들의 동기부여 및 탈주 방지를 위해 보증금 20,000원을 걷을 예정입니다. 스터디 끝난 후 차감액 제외하고 돌려드립니다.스터디 불참이나 지각, 블로깅 미참여시 벌금 2,000원씩 보증금에서 차감할 예정입니다. 벌금이 보증금을 넘어서는 경우 추가로 걷은 후 단원들과 나눌 예정입니다.개인 스케줄 혹은 회사 업무로 인해 스터디 참여 및 공부할 여건이 안 되시는 분들은 잘 생각해보시고 참여하셨으면 좋겠습니다. 생각보다 책 내용이 많고, 초보자 분들에게 다소 어려울 수 있습니다. 신청 전에 잘 고려하고 신청해 주세요!! 블로그 작성 주의 사항게재 위치네이버 블로그티스토리기타 개인 블로그노션(웹 공개 옵션)게재 내용다음 문구를 모든 글에 필수로 넣어주세요.“이 글은 골든래빗 《도서 제목》의 스터디 내용 입니다.”스터디 노트는 최소 600 단어 이상 작성해야 한다.묘공단이란?묘공단은 골든래빗 도서를 완독하여 성장하는 스터디 프로그램입니다.묘공단에서는 스터디를 이끄는 단장과 함께 더 우수한 개발자가 되기 위해 모인 단원들과 서로를 응원하며 성장할 수 있습니다.좋은 개발자가 목표라면 혼자 공부하지 마세요. 묘공단에서 함께 하세요. 지금 묘공단은?・ 새로운 지식을 배우려는 세상의 모든 학생, 취준생, 직장인 개발자라면 누구나 참여할 수 있어요.・ 현재 108명이 참여, 13개 스터디가 종료/운영 중이며, 약 80%의 높은 완독 달성율을 기록하고 있어요.・ 동아리 활동, 취준생 모임, 이직 스터디 등 다양한 커뮤니티와 함께 하고 있어요. 묘공단 자세히 보기 ↗"
59,"[개발 스터디 모집 내용 예시]스터디 주제 : Javascript코딩테스트스터디 목표 : 일주일에 주어진 문제들을 풀기예상 스터디 일정(횟수) : (자율)예상 커리큘럼 간략히 : 매주마다 6~7문제씩 제공되는 백준 문제를 풀기예상 모집인원 : 5명?스터디 소개와 개설 이유 : Javascript코딩테스트를 준비하는데 미션형식처럼 진행하고 싶습니다.!스터디 관련 주의사항 :스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.)오프라인, 온라인 모임을 가져 코딩테스트 서로 체크해주자 보단 GitHub으로 주차마다 미션형식으로(그냥 주차마다 어떤문제 풀자 정도입니다) 미션 하면 PR날려서 하는 형식으로 진행하려고하는데..혹시 참여하실분 계실까요?https://github.com/rud1676/JavaScript_AlgorithmTest해당 README참고하셔서 어떻게 진행되는지 대충 보셔도 좋을거같아요!한분이라도 계시면 오픈톡방 만들어서 누가누가 미션을 진행햇는지 금요일 마다 알림을 보내려구 합니다~!혹시나 궁금하신 사항있으면 아래 링크로 이야기해주세요!!https://open.kakao.com/o/sMPld72f"
60,"[개발 스터디 모집 내용 예시]스터디 주제 : 오브젝트 도서를 읽고 인사이트 공유스터디 목표 : 오브젝트 도서 완독예상 스터디 일정(횟수) : 2024-01-30 ~ 10주 예상예상 커리큘럼 간략히 : 매 주 50P 정도 분량의 책을 읽고 정리하고 해당 자료를 공유하며 오프라인에서는 인사이트를 공유하거나 궁금한 부분과 토론을 진행하는 방식예상 모집인원 : 5명 예상 (현재는 4인, 1인 추가 모집)스터디 소개와 개설 이유 : 평소 개발책 스터디를 자주 진행합니다만, 더 다양한 분들과 함께 스터디를 진행하고 싶어서 개설하게 되었습니다.여러 사람들과 같은 책을 읽어도 다양한 인사이트와 시각을 볼 수 있는게 상당히 흥미롭고 책도 같이 읽을 수 있어서 좋아하니 많이많이 지원해주세요~~스터디 관련 주의사항 : 상세한 주의사항은 꼭 해당 게시글을 읽어주시길 바랍니다.가장 대표적으로 스터디룸 금액이 들고 보증금 제도를 채용하고 있으니 이점 양해 부탁드립니다.스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.)"
61,"안녕하세요!백엔드 개발자로 이제 막 취업후부족함을 많이 느껴 열심히 공부하고있습니다!저는 공부를 하면서 무언가에 대해 가장 깊고 확실하게 이해하는 방법이, 타인에게 학습한 부분을 설명하는 것이라고 생각하는데요!매주 정해진 시간에 각자 공부한 내용을 발표하고 이에 대해 서로 궁금한 점들은 질문하는 스터디를 만들려고합니다!지역은 수원 인근이 좋을거같고, 시간은 주말로 생각하고있습니다!자세한 일정이나 장소는 스터디원 모집하고 추후협의를 통해 결정할 생각입니다!주제는 백엔드 분야와 관련된 아무거나 해도 상관없습니다!인원은 한 분 정도만 더 모집하려합니다!혹시 관심있으신 분들은 아래 오픈카톡으로 문의해주시면 감사하겠습니다!https://open.kakao.com/o/snQxiW1f"
62,"단톡방(비밀번호: 9323): https://open.kakao.com/o/gyvuT5Yd홈페이지: https://weekly.ac/위클리 아카데미는 함께 성장하는 것을 지향하는 커뮤니티입니다.스터디, 세미나, 컨퍼런스를 통해 다양한 분야의 정보를 공유하고 습득해보세요. 현업 종사자 뿐 아니라 이제 막 입문하는 초보, 비전공자 모두 환영합니다. 개발 이론, 언어, 프레임워크, 시스템 아키텍처, 네트워크 그리고 데이터베이스를 비롯한 소프트웨어 개발과 관련된 아카데미를 운영하고 있습니다.활동 내역파이콘 2023 후원만들면서 배우는 클린 아키텍처 스터디Hibernate 만들어보기 스터디코틑린 동시성 프로그래밍 스터디만들면서 배우는 컴파일러 첫걸음 스터디토비의 스프링 북 리뷰(스터디)빅데이터 스터디이펙티브 자바 스터디코틀린 인 액션 스터디파이썬 기초 스터디자바 기초 스터디3D 데이터 인식 및 처리 스터디성공과 실패를 결정하는 1%의 네트워크 원리 스터디그 외 다양한 스터디, 세미나 진행"
63,"* 한 사람도 빠짐없이 함께 성장을 목표로 하는 그룹입니다 *모집 인원 2명 (현재 스터디 인원은 4명이며, 최대 6명까지 모집 예정입니다)모집 요건C4D / 3dsmax / Blender / Maya / zbrush 등 3D 모델링 툴을 공부하고 계신 분(툴 기초 사용법까지는 숙지하고 계신 분을 희망합니다!)3D 분야 취업을 희망하거나 관련 분야에 재직 중이신 분원활한 소통을 위해 마이크 사용이 가능한 분차분하고 끈기 있으신 분들 압도적 환영차분함이 부족하셔도 환영 그룹장이 직접 진정시켜드립니다활동 기간2개월간(시즌제) 운영 ~ 2주간 휴식 체제 (그룹 정비 및 개별 계획 수립 기간)희망하신다면 현 시즌 종료 후에도 새로운 시즌으로 그룹 활동을 이어가실 수 있습니다!(시즌 도중 하차도 가능은 하지만.. 되도록 자제해주셨으면 합니다)기본 주3회 출석 (3회 이상부터는 자율 참여)활동 내용필수디스코드로 매일 작업 전 출석매주 or 매달 or 시즌별 세운 계획을 토대로 개별 작업매주 1회 포트폴리오 혹은 레퍼런스 사이트에서 본 작업물 중 하나를 선정하여 멤버들에게 한 줄 소개시즌 마지막 주에 함께 모여 자신의 작업물 소개 및 후기 공유 (간략한 제작 과정, 마음에 들거나 아쉬운 점, 참고 레퍼런스 등)자율본인의 작업물 피드백 요청스터디를 진행하며 새로 배운 점, 팁 공유작업 진행 중 막히는 부분, 모델링 관련하여 궁금한 점 등 질문이번 시즌은 2월 첫째주부터 시작되며,추후 디스코드 아이디를 보내주시면 스터디그룹 채널에 초대해드립니다.하단 링크로 성함과 나이, 작업 경험(간단한 튜토리얼도 괜찮습니다)을 간략하게 적어 보내주시면 감사하겠습니다.https://open.kakao.com/o/sIA3OV3f"
64,"일정월~목 20시, 2~4명대상1~3년차 자바 개발자이력서가 어느정도는 준비되신 분주 2회 이상, 저녁 20시에 시간 투자가 가능하신 분화상채팅이 가능하신 분분야Java /네트워크 / DB 지원 (희망) 기업을 타게팅한 인성질문, 기술질문진행 방식전 날, 본인이 질문할 주제를 정하고 공유합니다.인성 질문, 기술 질문을 정합니다.인성 질문 e.g. “프로그래머란 어떤 직업이라고 생각하시나요?”기술 질문 e.g. “프로세스와 스레드를 서로 비교해서 설명해주세요”20시, 디스코드에서 캠 켜고 온라인으로 진행합니다.면접자 1명 : 면접관 N명 형식으로, 돌아가며 모의 면접을 진행합니다.면접자는 해당 질문에 대한 답변을 보지 않은 채 이야기합니다.답변에 대한 꼬리질문을 반복합니다.벌금제공용 통장에 30,000원씩 입금합니다.결석해야 하는 경우 5,000원씩 벌금이 늘어납니다.정말 피치 못할 사정(경조사, 면접, 코테)의 경우만 제외합니다.매 달의 마지막 날 공용 통장에 쌓인 돈을 인원 수대로 나눠서 분배합니다.중도 탈퇴 시, 분배 대상에서 제외됩니다.최종 합격 시, 탈퇴하실 분은 증명 가능한 사진을 보내주시면 30,000원을 돌려드립니다. (벌금 제외)지원방법https://open.kakao.com/o/sAzuj0Zf"
65,"[밑바닥부터 시작하는 딥러닝 2] 책으로 스터디하실 분 구합니다! 준비물은 [밑바닥부터 시작하는 딥러닝 2] 책입니다.책의 큰 구성은 신경망 복습, 자연어와 단어의 분산 표현, word2vec, 속도 개선, RNN, 게이트가 추가된 RNN, 문장 생성, 어텐션 등입니다. 책은 주로 설명과 코드 구현으로 이루어져 있습니다.목표는 책 완독이고, 너무 늘어지지 않을 정도로 분량을 잡고 함께 공부 했으면 합니다. 일주일 진행 횟수나 요일 및 시간, 발제 방법, 책 분량 등은 함께 정해보면 좋을 것 같습니다.관심있으신 분들은 아래 오픈 단체방에 오셔서 편하게 말씀해주세요!https://open.kakao.com/o/gH0ePX3f"
66,"안녕하세요!새해에 첫 시작을 스터디 모임을 통해서 시작하는 것은 어떠실까요? 🙂 전번에 했던 <자바 챌린지 스터디>, <배포 챌린지 스터디>, <리액트 스터디>를 잘 마무리하고이번에 새로 업그레이드해서 스터디를 계속 진행하고 있습니다! 이번엔 Docker 중급 스터디를 모집합니다!이전 배포 스터디에서 SpringBoot jar -> AWS EC2 서버에 배포, 그리고 Docker, Jenkins로 배포 자동화를 구축하는 작업을 하였는데요.아쉬운 부분이 RDBMS 로 진행하지 못한 부분이었습니다!그래서 요번 스터디는 DB를 중점으로 Docker로 설치하고 Application에 연동, 배포하는 작업까지 확장하는 스터디로 진행하고자 합니다.스터디 목표!🚀 SpringBoot REST API 구축하기SpringBoot와 JPA를 활용하여 REST API를 개발합니다.Docker 컨테이너를 사용하여 애플리케이션을 실행합니다.🐳 Docker로 RDBMS(mysql) 연결하기MySQL 데이터베이스를 Docker 컨테이너로 실행합니다.SpringBoot 애플리케이션과 MySQL을 연동합니다.💻 로컬에서 테스트하기!로컬 환경에서 애플리케이션을 확인하고 테스트합니다.☁ AWS EC2에 배포하기AWS EC2 인스턴스에 SpringBoot 애플리케이션과 더불어 MySQL까지 배포합니다.Plus) 🌐 AWS RDS와 Docker-compose를 사용하여 MySQL 설치AWS RDS를 설정하여 MySQL 데이터베이스를 호스팅합니다.Docker-compose를 사용하여 MySQL과 SpringBoot를 연동합니다. 과거 스터디를 하면서 스터디원들의 평가와 후기 👀그리고어떤방식 등으로 진행했는지는 카페를 개설해 이력을 남기고 있으니 거기서 한번 확인해보셔도 좋을 것 같습니다.https://cafe.naver.com/platformerwebdev제 스터디들의 큰 줄기는 ""이론 -> 실습"" 입니다.​스터디의 취지는 이 과정을 처음부터 끝까지 하여 배포 공부에 자신감을 가질 수 있 경험을 만들고자 함! 입니다.​기간: 딱 하루! 01/20시간: 토요일, 오후 5:00 ~ 8:00(3시간)장소: 강남역 스터디룸모집인원 : 오프라인 최대 5명 모집비용: 스터디 참여비용은 유료, (Notion 페이지 참조✅)관련 디테일한 내용은 Notion 페이지를 참고해주세요!https://www.notion.so/Docker-9c41f6af52854ee4abd99beca308bbc0?pvs=4​온라인 or 오프라인 모두 스터디 참가 가능합니다!참여하고 싶은 분들은 간단한 자기소개와 함께 1대1 오픈카톡방에 문의 주시기 바랍니다 :) 감사합니다!https://open.kakao.com/o/sGk3Mo3f"
67,"안녕하세요.석촌역 근처 카페에서 주중에 오프라인으로 모각코 함께 하실 분들을 찾고 있습니다 🙂평일에 각자 코딩하고, 가볍게 개발 이야기도 하며 진행하면 좋을 것 같습니다.시간은 월요일/목요일 2회, 퇴근 후 7~8시부터 10시까지 진행하고 있습니다. 아무래도 평일이라 출결을 빡빡하게 보지 않고 있어요.적당한 분위기에서 스스로 열심히 하실분들이 오시면 좋을 것 같습니다.생각 있으신분은 편하게 구글폼주세요. [개발 스터디 모집 내용 예시]스터디 주제 : 모각코스터디 목표 : 같이 퇴근 후 코딩하기시간: 월/목 2회, 저녁 7~8시부터 10시까지장소: 석촌역 근처 카페예상 모집인원 : 1스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.)https://docs.google.com/forms/d/15pqPjBDqy2zWqidfCCEN5QBtIq6c9Iy65QY3TCfcNlg/viewform?edit_requested=true"
68,"나만의 독보적인 포트폴리오를 만들고 싶다면?단기간에 프로젝트 A to Z를 경험하고 싶다면?타 직군과 소통하며 협업을 경험하고 싶다면? 위와 같은 고민을 하고 있다면 지금 당장 ‘스위프 3’기에 지원하세요!완벽하게 취.뽀. 하고 싶은 대학생&취준생&주니어 모두 환영! (비전공자도 환영🙌) 📢 [스위프란?]스위프는 기획자, 디자이너, 개발자가 한 팀으로 웹개발 단기 프로젝트(6주)를 경험하고 성장할 수 있는 기회를 제공합니다! 스위프를 통해 나와 맞는 팀원과 함께 프로젝트의 전 과정을 경험하고, 나만의 차별화 된 포트폴리오를 만들 수 있어요! ⭐ [참가 혜택]1. 체계적으로 협업할 수 있도록 스위프 전용 협업 툴 지원!2. 초보자도 쉽게 프로젝트를 진행할 수 있는 가이드라인 및 템플릿 제공!3. 복잡한 과정 없이 GitHub 연동만으로 쉽고 빠른 웹 호스팅 지원!4. 포트폴리오로 활용할 수 있도록 프로젝트 결과물 보존!→ 자세히 알아보기 https://swyg.oopy.io/swyp/benefit 🙌🏻 [모집 대상]- 아이디어 기획 경험이 한 번이라도 있는 기획자,디자인 툴 하나라도 사용해 본 디자이너,프로그래밍 언어를 하나라도 공부해 본 개발자, 모두 환영해요!- 한 번도 사이드 프로젝트 해본 적 ‘없’는 사람? 오히려 좋아요!- 경험이 부족해도 포트폴리오가 없어도 괜찮아요. 당신의 의지와 열정이면 충분해요! 🔥 [참가비]- “단돈 69,000원!”참가비 169,000원 (정가 250,000원)수료 시 현금 리워드(10만원) 증정 📅 [일정]- 지원 마감 : 1/21(일)- 합격자 안내 : 1/22(월) 20:00- 팀 빌딩 : 1/23(화)~1/25(목)- 킥오프 미팅 : 1/27(토) 10:00- 프로젝트 시작 : 1/29(월)- 프로젝트 발표 및 네트워킹 행사 : 2024/3/23(토)※ 세부 일정은 합격자에 한해 일괄 안내 예정 📌 [지원 방법]신청서 작성 https://swyp.softr.app 🙋 [문의]Contact : https://open.kakao.com/o/sgTUNmUdEmail : shlee@swyg.im 👉 스위그(SWYG)에 대해 더 알고 싶다면?홈페이지 https://www.swygbro.com인스타그램 https://www.instagram.com/swyg_official"
69,"🔍 프로젝트 팀원 구합니다!!!! 🔍📌 이름: (미정)📌 연락처: https://open.kakao.com/o/sacFeH3f📌 전문분야: 기획자 1~2명, 디자이너 1-2명📌 팀 프로젝트에 참여할 의지 및 시간 가용성: 연락 잘 되시는 분들 원합니다.🌈 안녕하세요! 우리 팀은 백엔드 개발자 3명, 프론트 개발자 3명으로 구성된 팀입니다. 저희는 최신 기술과 동향을 적극적으로 활용하여 혁신적이고 사용자 친화적인 서비스를 3월 안에 개발하는 것을 목표로 하고 있습니다. 💪🔥 만약 당신이 아이디어 구상부터 구체적인 기획 단계까지 열정적으로 참여하고 싶다면, 연락주세요! 📝"
70,"[개발 스터디 모집 내용 예시]스터디 주제 : Next 풀스택 스터디스터디 목표 : Next를 이용하여 풀스택 포트폴리오 개발예상 스터디 일정(횟수) : 매일 혹은 주 5일예상 커리큘럼 간략히 : 논의예상 모집인원 : 3명스터디 소개와 개설 이유 : 취준생들을 위한 스터디이다 보니 평소 시간 많으신 분만 와주세요.스터디 관련 주의사항 : 리액트로 프로젝트를 만들어 보신 분 or prisma 사용해보신 분스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.) https://open.kakao.com/o/sMnQt0Of"
71,"안녕하세요!! Javascript를 활용한 웹개발 면접 스터디를 함께할 팀원을 찾고 있습니다. Javascript를 활용한 웹개발 취준 중이신 분들은 다 환영합니다!! 😃<모집 내용>모집인원 : 4명 -> 3명-> 토요일, 일요일 중에 하루를 선택. 매주 참여.-> 각 요일마다 4~5명 참여 예정.<주의사항!!>- 첫주는 선착순으로 요일을 선택합니다~! - 현재 토요일2자리, 일요일1자리 남았습니다! 스터디 일정 : - 1월 20일 시작. - 매주 토요일 오후2시 혹은 일요일 오후 2시. - 4주간 진행스터디 소요 시간 : 3시간 -> 1인당 30분 소요장소: 삼성역에 있는 사무실에서 진행할 예정입니다! 무료이니 장소 대여료는 걱정하지 않으셔도 됩니다!!자격요건: JavaScript 및 TypeScript를 사용하여 웹 개발 직무로 취직을 희망하시는 분. 이력서가 완성되신 분들.스터디 진행 방식: 모의 면접 방식. 한사람당 30분씩 모의 면접 진행.주의 사항: 서로의 이력서를 참고해서 모의 면접을 진행할 예정이기 때문에 이력서 공개가 어려우신 분들은 신청에 주의해주시기 바랍니다 😃신청 방법: 오픈 카톡으로 참여의사 밝혀주시면 됩니다. 🙂현재 참여중이신 분들 중에 면접 경험이 있는 분들도 있고, 경험이 없는 분들도 있습니다. 모의면접을 통해 서로 성장하는 시간이라고 생각하시고 신청해주시면 좋겠습니다!!질문이 있으신 분들은 편하게 오픈채팅방으로 질문해주세요! 😁"
72,삭제된 글입니다
73,"[웹FE개발 스터디 모집 내용 예시]예상 스터디 일정(횟수) : 일주일에 1 ~ 2번예상 커리큘럼 간략히 : 자유롭게예상 모집인원 : 4 ~ 6명스터디 소개와 개설 이유 : 안녕하세요 저는 현재 회사 재직중인 웹 FE 개발자 입니다.아무래도 직장인이다보니 시간대나 위치가 맞는 스터디도 없고, 가끔 조건이 맞아 신청하려고 보면스터디의 양이 너무 많아서 ""내가 과연 끝까지 할 수 있을까?"" 라는 생각과 스터디에 피해를 줄까봐 망설이게 되더라고요.그래서 제가 원하는 스터디는 각자 본인이 설정한 공부의 양과 종류를 정하고 일주일에 한두번 다른 사람들에게 설명하는 시간을 가지는 스터디 입니다. 개발에 연관만 있으면 어떤 공부던 상관 없고(각자 회사에서 문제를 해결했던 경험, 혼자서 코딩하다 생긴문제를 해결한 것도 포함) 주제 또한 꼭 각자 다를 필요도 없이 여러명에서 공부해도 상관 없고 본인이 공부한 것을 다른사람에게 발표를 해서 상대가 이해할 수 있으면 되고, 발표가 끝나면 QnA시간을 가지면 될 것 같습니다.(QnA는 서로 솔직한 피드백을 하는 시간이였으면 좋겠습니다.)이 외에도 각자의 개발 고민 또는 합의하에 이번주는 스터디가 하기 싫을 경우 가벼운 커피챗등도 가능합니다.스터디 관련 주의사항 : 없음스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.) :"
74,"안녕하세요.보유지식 : C#, JAVA, Kotlin, WPF, REST API 등맞춤형 과외를 진행해드리고 있습니다.입문자변수부터 시작하여 기초적인 부분부터 공부가 필요하신분효율적으로 개발공부 하고싶으신 분취업준비 : 코딩테스트, 기초사전지식, 이력서 작성 등포트폴리오 : 회사가 원하는 or 준비해야하는 준비물 등실무자회사업무를 진행하다 사수가 없어서 막힌부분을 해결하고 싶으신 분신속한 소스분석 / 정확한 구글링 방법등미래의 대한 준비 : 연차수에 맞는 개발능력이 맞는지, 물경력 타파이직준비 : 이력서 작성 및 준비사항 등 지원방법이름 / 나이 / 연락처 / 사는곳 / 직업 / 신청이유메일로 연락주세요.tutorings90@gmail.com"
75,"우선 해당 글은 스터디를 모집하는 글이 아님을 밝힙니다. [스터디 활용 저장소 소개]안녕하세요.저는 ＇코딩 테스트 합격자 되기 (파이썬 편)＇ 책을 공부 중인 개발자입니다. 제가 이렇게 글을 쓰는 이유는해당 책을 활용하는 스터디를 직접해보니구성원간의 소통할 수 있는 환경이 있으면 좋겠다고 생각했습니다. 그래서 간단한 깃헙 저장소를 만들어 봤고 소개 해드립니다. [저장소 특징]✅ 해당 저장소는 책을 공부하는 누구나 사용할 수 있는 공간 입니다.✅ 아무런 조건도 제약도 없는 자유로운 저장소 입니다.✅ 책을 혼자 공부하시는 분들, 책을 스터디 중인 분들도 저장소를 활용해보세요!✅ 로컬에서 디버깅 하면서 공부 할 수 있습니다.✅ PR (Pull Request) 를 작성하면 자동으로 테스트가 동작합니다.✅ 서로의 코드를 보면서 피드벡을 하면 더 많이 느끼고 배울 수 있습니다. [끝으로]혼자서 책을 공부하고 계신 분이나이미 책을 스터디 하고 계신 분들또는 코딩 테스트 스터디를 계획하고 계신 분들에게책과 해당 저장소가 도움이 되지 않을까 해 같아서 글을 남깁니다.감사합니다. 책 링크저장소 링크"
76,"안녕하세요 부산 IT 모임 부스코입니다.기존 개별 스터디 외에 각자 모여서 코딩하는 모각코를 함께 하실 분들 모집합니다~ 모집그룹1. 취업을 목적으로 하는 학생과 취준생2. 스펙업을 목적으로 이직을 원하는 현직 개발자들 장소엘리스랩 부산점(센텀시티) 단순히 공부만 하기보단 정보 공유도 되면 좋을것 같아요~제가 인프런이나 타 커뮤니티에서 취업 멘토링도 하고 있거든요.목적이 같은 그룹이어야 장기적으로 운영이 되는 것 같아서, 그룹을 나눴어요.부담 없이 오실 수 있는 근처이신 분이면 좋겠고 공부는 할 수 있는데 오늘따라 멀리 있으면디스코드로 온라인으로 참석해주시면 좋겠습니다 ~ https://open.kakao.com/o/sNBdcE3f"
77,"비즈니스 모델을 실현할 수 있는 능력 있는 앱 & 서버 개발자 [프론트엔드, 백엔드]를 구합니다 ! 작은 문제가 아닌, 인류에 임팩트를 줄 수 있는 문제를 함께 풀어갈, 그런 문제에 가슴이 뛰는 분이면 좋겠습니다. 비즈니스 모델은 확정된 상태이며, 기존 고정관념과 사회 통념에 도전하는 즐거움을 줄 것임을 확신합니다. 굉장히 빠른 속도로 결정하고, 실행하며, 집약적으로 성장할 것 입니다 ! 앱 형태는 중고거래 플랫폼과 유사한 형태를 띄게 될 것 입니다. chulyong5947@gmail.com으로 연락주시면 감사하겠습니다 !"
78,"안녕하세요 저희는 교육관련 어플 런칭을 목표로 하는 창업팀입니다.저희는 숙명여대 재학생들로 구성되어 있으며 현재 교수님께 멘토링을 받고 있습니다.기획, 개발자, 디자이너 총 6명으로 구성되어 어플 개발 초기단계로 초기 디자인은 완료된 상태입니다.현재 청년 창업 지원 사업을 통해 4회가량의 멘토링을 받았으며 약간의 지원금을 확보한 상태입니다.또한 수익성이 충분한 비즈니스 모델 기획이 완료되어 어플 개발에 착수했습니다.어플 개발 완료는 2,3월 예정이며 예비창업패키지, 창업동아리, 올해 런칭을 목표로 하고 있습니다.개발 초기 단계로, 처음부터 책임감있게 함께하실 분을 찾고 있습니다. 잘하진 않더라도 포기하지 않고 헤쳐나갈 끈기가 있다면 충분합니다. 같이 성장할 개발자분들 많은 관심 부탁드립니다. 모집인원: 백엔드 개발자(2~3명)📌백엔드 필요 역량1. 디자이너, 프론트엔드 개발자 협업 경험 있으신 분2. java 및 spring으로 개발 경험 있으신 분오픈카톡으로 학과 및 대외활동 이력을 적어주세요!https://open.kakao.com/o/sL1FS3Qf"
79,"스터디 주제2024 상반기 취업대비 데분 포폴 온라인 스터디 (데이터 애널, 데이터 사이언티스트 관련 취업 목표) 스터디 목표데이터 분석 포트폴리오 디벨롭해서 상반기 취뽀하기 ( 1 ~ 6월까지)각자 프로젝트 진행 후 진행 내용 회고 & 의견(인사이트) 공유 데이터 분석 : R, SQL & TABLEAU 시각화예측/이상탐지 : 머신러닝, 딥러닝 등팀 프로젝트는 스터디원 논의 후 필요시 진행하나 희망도메인, 필요 스킬 등이 모두 상이하므로 개별 프로젝트가 우선입니다.파이썬, R, SQL 등 학습 스터디가 아닙니다.진행하는 혹은 진행할 실습/프로젝트가 있어야 합니다. (캐글, 데이콘 실습도 무관) 예상 스터디 일정(횟수)매주 일요일 2시 ~ (1 시간 내외)""디스코드""로 화상 진행 - 적극적인 참여도를 위해 ""카메라/마이크 ON"" (채팅창으로만 진행 X) 예상 커리큘럼 간략히주간 평일 : 각자 개인 프로젝트 진행일요일 미팅 : 프로젝트 진행 사항 & 피드백  공유, 완성된 포트폴리오가 있다면 피드백 / 현재 취준 동향, Tip 정도 공유불참시 1일 전까지 카톡으로 알려주기 (한 달내 1회 불참까지 인정, 그 이상 강퇴)but, 그 주에 관련 회사 면접이 있는 경우, 데이터 관련 자격증 시험이 있는 경우 불참예외 인정 (면접 / 시험 후기 복기 및 공유) (데이터 무관 자격증은 인정하지 않습니다.)  모집인원2~3 명(비전공자 우대 / 취준생 / 혼자 준비하는 것보다 주변 독려가 필요하신 분 / 데분 프로젝트 1개 이상 진행하신 분 ) 지원 방법책임감 있고, 목표 의지가 있으신 분만 카카오 1:1톡으로 아래 내용 작성 바랍니다.https://open.kakao.com/o/svUnY5Vf현재 직업(직장인, 졸업예정자, 취준생 등) / 데이터 분석 학습여부 (ex. 부트캠프 n개월 수강중, ooo 수료 완료 등등) / 현재까지 진행한 프로젝트 갯수 / 스터디 계기"
